#nodeA	nodeB	score1
C05467	C01794	NaN
C05467	C05450	NaN
C06002	C02170	NaN
C06002	C06001	NaN
C00101	C00143	NaN
C00101	C00440	NaN
C00101	C00445	NaN
C00101	C00504	NaN
C00143	C00440	NaN
C00143	C00445	NaN
C00445	C03479	NaN
C00106	C00299	NaN
C00106	C00526	NaN
C00109	C00332	NaN
C00109	C05984	NaN
C00332	C01144	NaN
C00110	C00381	NaN
C00110	C00621	NaN
C00110	C01246	NaN
C00110	C03862	NaN
C00110	C04500	NaN
C00621	C04213	NaN
C04500	C04537	NaN
C00447	C05382	NaN
C03372	C03129	NaN
C03372	C03715	NaN
C00114	C00157	NaN
C00114	C00576	NaN
C00114	C00588	NaN
C00157	C00219	NaN
C00157	C00416	NaN
C00157	C00641	NaN
C00157	C00670	NaN
C00157	C01595	NaN
C00157	C04230	NaN
C00157	C04233	NaN
C00157	C06427	NaN
C00576	C00719	NaN
C00588	C00307	NaN
C00588	C00550	NaN
C00422	C00165	NaN
C00422	C00641	NaN
C00577	C00258	NaN
C01885	C00165	NaN
C01885	C00641	NaN
C02112	C00641	NaN
C02112	C03974	NaN
C05401	C00124	NaN
C00117	C00119	NaN
C00117	C00121	NaN
C00117	C00199	NaN
C00117	C00301	NaN
C00117	C05382	NaN
C00199	C00231	NaN
C00199	C00345	NaN
C00301	C13050	37f8148e
C00301	C16011	NaN
C00231	C00310	NaN
C00236	C00197	NaN
C00236	C01159	NaN
C00120	C01893	NaN
C00120	C04681	NaN
C00120	C04682	NaN
C00120	C04727	NaN
C00120	C04801	NaN
C04681	C04735	NaN
C04682	C04736	NaN
C04727	C04763	NaN
C04801	C04827	NaN
C00123	C00233	NaN
C00123	C02047	NaN
C02047	C01645	NaN
C00124	C01235	NaN
C00124	C01290	NaN
C00124	C01613	NaN
C00124	C01697	NaN
C00124	C02686	NaN
C00124	C04737	NaN
C00124	C04911	NaN
C00124	C05399	NaN
C00124	C05400	NaN
C00124	C05404	NaN
C00124	C05796	NaN
C00124	C06037	NaN
C00124	C06126	NaN
C00124	C06136	NaN
C01235	C00137	NaN
C01290	C04730	NaN
C01290	C04737	NaN
C01290	C04845	NaN
C01290	C06135	NaN
C02686	C00195	NaN
C02686	C06125	NaN
C02686	C06126	NaN
C02686	C06128	NaN
C04737	C03272	NaN
C04911	C04884	NaN
C04911	C04927	NaN
C04911	C06136	NaN
C04911	C06141	NaN
C05400	C00159	NaN
C06037	C03692	NaN
C06136	C06135	NaN
C00129	C00235	NaN
C00129	C00341	NaN
C00129	C00353	NaN
C00129	C00448	NaN
C00129	C01143	NaN
C00129	C17432	NaN
C00235	C04432	NaN
C00448	C00751	NaN
C00448	C05859	NaN
C00448	C20120	NaN
C01143	C01107	NaN
C00315	C00750	NaN
C00315	C00986	NaN
C00315	C02567	NaN
C00612	C18170	NaN
C02714	C05936	NaN
C00135	C00388	NaN
C00135	C00785	NaN
C00135	C00884	42e9f7b7
C00135	C02988	NaN
C00388	C05127	NaN
C00884	C00334	42e9f7b7
C02988	C01643	NaN
C00136	C00877	NaN
C00136	C18026	NaN
C00877	C00527	NaN
C00877	C01144	NaN
C00877	C02411	NaN
C00877	C05116	NaN
C18026	C20238	NaN
C00137	C01177	NaN
C00137	C01194	NaN
C00137	C03546	NaN
C01177	C04062	NaN
C01194	C00269	NaN
C01194	C01277	NaN
C01194	C04549	NaN
C03546	C01220	NaN
C00140	C00611	NaN
C00140	C01674	NaN
C00140	C04755	NaN
C00140	C19802	NaN
C00140	C19804	NaN
C00611	C04847	NaN
C00611	C04886	NaN
C04755	C04010	NaN
C19802	C06395	NaN
C19804	C19803	NaN
C00141	C00183	NaN
C00183	C02554	NaN
C00146	C00850	NaN
C00146	C03254	NaN
C03254	C02534	NaN
C00147	C00559	NaN
C00148	C01015	NaN
C00148	C02702	NaN
C01015	C04281	NaN
C02702	C01649	NaN
C03402	C01637	NaN
C03402	C06113	NaN
C00153	C00455	NaN
C00153	C03150	NaN
C00455	C03150	NaN
C00154	C00249	2811bbb
C00154	C02990	NaN
C00154	C05272	1fbf93fe
C00154	C16216	NaN
C00249	C05764	NaN
C00249	C17202	NaN
C02990	C00318	NaN
C05272	C05258	6aafe1da
C16216	C16217	NaN
C00219	C00427	NaN
C00219	C02249	NaN
C00219	C14749	NaN
C00219	C14768	NaN
C00219	C14769	NaN
C00219	C14770	NaN
C00219	C14771	NaN
C00219	C14778	NaN
C00416	C00269	NaN
C00416	C00350	NaN
C00416	C00641	NaN
C00641	C00350	NaN
C00641	C04637	NaN
C00670	C04230	NaN
C00670	C04233	NaN
C01595	C02050	NaN
C01595	C14825	NaN
C01595	C14826	NaN
C06427	C16162	NaN
C00417	C00490	4c7c32f2
C00159	C02478	NaN
C00159	C02492	NaN
C00195	C00319	NaN
C00195	C00550	NaN
C00195	C02960	NaN
C00350	C00189	NaN
C00350	C01241	NaN
C00350	C04438	NaN
C00350	C05973	NaN
C00958	C04517	NaN
C01958	C00370	NaN
C04438	C01233	NaN
C05973	C01233	NaN
C11547	C11548	NaN
C12126	C00836	NaN
C12145	C12144	NaN
C00165	C05675	NaN
C00165	C05676	NaN
C05675	C05673	NaN
C05676	C05674	NaN
C00191	C03033	NaN
C00191	C04900	NaN
C00191	C05787	NaN
C00191	C11376	NaN
C00168	C00258	NaN
C00168	C01146	NaN
C04188	C04582	NaN
C00173	C00229	NaN
C00229	C05223	NaN
C00229	C05745	NaN
C00229	C05749	NaN
C00229	C05752	NaN
C00229	C05755	NaN
C00229	C05761	NaN
C00229	C05764	NaN
C00229	C16239	NaN
C00229	C19673	NaN
C00229	C20375	NaN
C00180	C06206	NaN
C00181	C00379	NaN
C00181	C02266	NaN
C00379	C00312	NaN
C02554	C01653	NaN
C00187	C01164	NaN
C00187	C01802	NaN
C00187	C02530	NaN
C00187	C15519	NaN
C01164	C01189	NaN
C01164	C05107	NaN
C00188	C02992	NaN
C02992	C01651	NaN
C00189	C00346	NaN
C00189	C04476	NaN
C00189	C04635	NaN
C00189	C04756	NaN
C00346	C00570	NaN
C00346	C01120	NaN
C00346	C06124	NaN
C04476	C03968	NaN
C04635	C04756	NaN
C04635	C15646	NaN
C04756	C03454	NaN
C04756	C15647	NaN
C04900	C12632	NaN
C05787	C00486	NaN
C05787	C05791	NaN
C11376	C11173	NaN
C00194	C00853	NaN
C00319	C06124	NaN
C00550	C03640	NaN
C00197	C01159	NaN
C00197	C03232	NaN
C05692	C05698	NaN
C00217	C00819	NaN
C00218	C00788	NaN
C00218	C05588	NaN
C00218	C16608	NaN
C00788	C05577	NaN
C00788	C05588	NaN
