#nodeA	nodeB	score1
C04900	C12632	null
C05787	C00486	null
C05787	C05791	null
C11376	C11173	null
C00194	C00853	null
C00319	C06124	null
C00550	C03640	null
C00197	C01159	null
C00197	C03232	null
C05692	C05698	null
C00217	C00819	null
C00218	C00788	null
C00218	C05588	null
C00218	C16608	null
C00788	C05577	null
C00788	C05588	null
C05588	C05583	null
C16608	C07572	null
C16608	C16609	null
C16608	C16612	null
C00427	C00584	null
C00427	C00639	null
C00427	C00696	null
C00427	C02198	null
C05223	C05758	null
C05223	C05759	null
C05745	C05746	null
C05749	C05748	null
C05749	C05750	null
C05752	C05751	null
C05752	C05753	null
C05752	C16236	null
C05752	C16239	null
C05755	C05754	null
C05755	C05756	null
C05761	C05760	null
C05761	C05762	null
C05764	C05763	null
C05764	C16219	null
C16239	C16237	null
C19673	C20372	null
C20375	C20376	null
C00242	C00330	null
C00242	C00385	null
C00242	C00387	null
C00385	C00262	null
C00385	C00366	null
C00385	C01762	null
C00245	C00506	null
C00245	C01959	null
C00506	C05528	null
C00247	C01507	null
C00248	C00579	null
C17202	C02743	null
C00253	C05841	null
C00253	C13051	null
C05841	C01185	null
C13051	C20742	null
C00259	C00532	null
C00262	C00294	null
C00262	C05512	null
C00640	C00658	null
C01086	C01122	null
C00268	C15522	null
C04730	C04884	null
C04730	C06133	null
C04884	C01132	null
C04884	C06134	null
C04884	C06135	null
C04927	C06140	null
C06139	C06138	null
C06139	C06140	null
C06140	C06141	null
C06241	C04257	null
C00272	C03684	null
C03684	C04244	null
C00280	C00535	null
C00280	C00674	null
C00280	C05296	null
C00535	C03917	null
C00535	C05291	null
C00535	C11134	null
C03231	C03069	null
C00292	C07565	null
C00295	C00337	null
C00295	C01103	null
C00300	C02305	null
C16011	C00613	null
C02567	C18170	null
C00318	C02838	null
C06124	C06123	null
C00322	C00527	null
C00527	C02411	null
C00325	C02985	null
C00325	C14830	null
C03626	C00543	null
C00329	C01075	null
C00334	C00555	null
C00334	C01035	null
C00339	C02434	null
C01120	C00517	null
C01120	C00836	null
C00349	C01188	null
C01188	C04047	null
C00418	C01107	null
C00376	C00473	null
C00473	C02075	null
C00473	C02588	null
C00473	C15492	null
C05127	C05827	null
C00398	C00637	null
C00637	C00954	null
C00399	C17562	null
C00401	C00634	null
C00401	C00635	null
C00401	C01490	null
C01490	C15558	null
C00407	C00671	null
C00407	C03127	null
C03127	C01644	null
C00410	C03681	null
C00412	C00510	null
C00412	C01530	null
C00412	C16218	null
C00510	C00712	null
C16218	C16217	null
C00490	C00531	null
C00419	C03463	null
C00419	C03475	null
C00584	C00639	null
C00429	C02642	null
C00931	C01024	null
C00751	C01054	null
C20120	C04506	null
C20120	C20119	null
C00468	C00951	null
C00468	C05298	null
C00468	C05300	null
C00468	C11133	null
C00951	C05141	null
C00951	C05301	null
C00951	C05503	null
C05298	C05299	null
C05300	C05141	null
C00483	C03765	null
C03765	C00642	null
C00487	C02571	null
C05528	C11537	null
C00519	C01678	null
C00523	C11135	null
C00543	C07572	null
C07572	C16607	null
C07572	C16612	null
C00546	C00937	null
C00546	C01888	null
C00546	C05999	null
C05999	C00583	null
C00547	C05577	null
C00547	C05589	null
C05577	C05576	null
C05577	C05580	null
C05589	C05583	null
C00585	C01167	null
C00585	C03721	null
C00591	C01064	null
C00591	C01200	null
C01200	C00686	null
C00599	C03238	null
C00601	C02455	null
C00601	C07086	null
C00613	C03022	null
C00618	C00800	null
C00625	C00686	null
C00625	C03000	null
C00630	C03460	null
C03460	C06000	null
C00632	C05640	null
C04637	C01245	null
C04637	C01277	null
C04637	C05981	null
C04637	C11557	null
C01879	C03740	null
C00694	C04855	null
C00694	C04890	null
C00694	C04891	null
C00695	C01794	null
C00717	C01370	null
C00738	C02965	null
C02965	C01171	null
C01054	C01724	null
C00756	C01545	null
C00762	C03588	null
C00777	C11061	null
C00777	C16677	null
C00777	C16679	null
C00777	C16680	null
C00780	C05634	null
C05634	C05635	null
C00804	C05985	null
C00818	C02670	null
C00828	C05819	null
C00828	C20265	null
C05819	C20265	null
C00829	C14786	null
C00829	C14787	null
C14786	C06205	null
C14787	C06205	null
C00831	C01134	null
C01134	C00882	null
C00835	C02953	null
C00842	C02097	null
C00842	C11907	null
C00856	C02967	null
C00857	C01185	null
C00864	C03492	null
C00868	C02764	null
C00870	C03360	null
C00870	C06604	null
C00870	C06606	null
C06604	C06606	null
C06604	C06607	null
C06606	C06608	null
C05668	C01013	null
C00899	C03455	null
C00906	C05100	null
C00909	C02165	null
C02165	C04853	null
C00911	C02520	null
C01024	C01051	null
C05141	C05504	null
C05301	C05302	null
C00956	C04076	null
C04076	C03366	null
C04076	C05535	null
C01003	C03875	null
C04281	C05947	null
C01019	C02475	null
C01051	C03263	null
C01033	C03345	null
C03345	C04405	null
C03345	C15980	null
C01036	C01061	null
C03263	C01079	null
C01724	C05109	null
C01724	C11455	null
C01078	C04398	null
C01097	C03785	null
C01117	C04212	null
C01132	C03272	null
C01132	C04925	null
C01132	C06135	null
C03272	C04925	null
C01141	C04141	null
C01149	C01181	null
C01161	C04043	null
C01161	C05582	null
C04043	C03758	null
C05582	C05581	null
C01189	C03845	null
C01189	C05111	null
C01189	C05439	null
C03845	C05437	null
C05111	C05110	null
C05439	C05437	null
C01277	C11554	null
C04549	C11554	null
C04549	C11556	null
C01204	C01284	null
C01204	C04563	null
C01204	C04579	null
C01204	C11174	null
C01204	C11526	null
C01204	C15990	null
C01204	C15991	null
C01284	C01245	null
C01284	C04520	null
C01284	C11555	null
C11174	C20690	null
C11526	C20690	null
C05744	C04618	null
C05746	C05747	null
C05750	C04620	null
C05753	C04619	null
C05756	C05757	null
C05759	C04688	null
C05762	C04633	null
C01211	C02188	null
C01211	C04487	null
C02188	C05544	null
C02188	C05545	null
C04487	C04759	null
C01220	C01245	null
C01245	C01272	null
C01245	C11555	null
C01227	C05139	null
C01228	C04494	null
C01239	C04375	null
C04375	C02871	null
C01240	C03418	null
C01243	C01272	null
C01243	C04063	null
C01243	C04477	null
C01256	C01293	null
C11554	C05981	null
C01308	C04726	null
C01450	C01612	null
C01516	C01735	null
C01516	C06174	null
C01516	C11785	null
C01516	C16578	null
C01516	C16643	null
C06174	C16577	null
C01525	C02318	null
C01528	C05172	null
C01528	C05684	null
C05172	C06482	null
C01573	C02872	null
C01573	C04441	null
C01573	C16720	null
C04441	C04692	null
C04441	C20663	null
C16720	C04692	null
C01598	C05643	null
C01628	C05850	null
C01628	C16711	null
C01647	C05336	null
C05336	C05335	null
C01664	C03636	null
C01672	C16565	null
C01702	C02687	null
C01736	C15587	null
C15587	C20463	null
C01753	C08821	null
C08821	C15783	null
C01756	C16614	null
C16614	C02380	null
C16614	C16615	null
C01764	C03446	null
C01789	C15781	null
C15781	C15780	null
C01829	C02465	null
C01832	C03221	null
C03221	C02944	null
C03221	C05262	null
C01910	C02171	null
C01943	C11508	null
C01944	C05276	null
C05276	C05266	null
C01972	C04833	null
C01997	C02415	null
C02415	C03702	null
C02028	C04131	null
C02031	C02100	null
C02031	C02339	null
C02339	C04802	null
C02038	C03881	null
C02041	C06425	null
C02051	C02972	null
C02059	C03313	null
C02059	C05849	null
C03313	C05849	null
C02060	C07343	null
C02076	C06222	null
C02090	C03170	null
C02094	C12286	null
C02094	C20695	null
C02141	C08830	null
C05544	C05545	null
C05545	C05546	null
C02189	C02863	null
C02211	C19078	null
C19078	C19080	null
C02222	C04431	null
C02222	C12838	null
C02222	C16476	null
C02222	C16477	null
C14145	C14144	null
C02297	C03687	null
C02315	C02582	null
C02380	C04646	null
C02380	C16613	null
C04646	C16615	null
C04646	C16617	null
C04646	C16618	null
C02528	C05337	null
C02576	C11924	null
C02593	C05273	null
C05273	C05260	null
C05936	C02946	null
C02743	C03800	null
C02805	C02986	null
C02835	C05130	null
C02871	C03957	null
C02909	C14099	null
C02939	C03069	null
C03069	C05998	null
C02962	C18096	null
C03012	C06205	null
C03021	C11572	null
C03023	C03895	null
C03023	C15653	null
C03035	C06426	null
C03201	C04475	null
C03201	C05212	null
C03201	C05977	null
C05212	C04317	null
C03205	C18040	null
C03242	C03595	null
C03306	C04311	null
C03356	C04309	null
C03373	C04640	null
C03373	C04751	null
C04640	C04376	null
C03410	C03691	null
C06000	C06001	null
C03530	C03531	null
C03557	C05673	null
C03594	C05455	null
C03633	C03798	null
C03638	C04312	null
C03680	C05565	null
C03706	C04789	null
C03723	C04232	null
C03758	C05587	null
C05587	C05581	null
C04051	C04677	null
C04677	C04734	null
C04073	C04196	null
C05535	C11482	null
C04088	C16221	null
C16221	C16220	null
C04144	C04489	null
C04155	C17325	null
C04582	C15650	null
C04242	C11736	null
C04250	C11475	null
C05947	C05938	null
C04373	C11136	null
C04384	C04649	null
C04384	C11553	null
C04453	C04840	null
C04453	C08825	null
C04840	C04530	null
C04840	C11509	null
C04537	C05860	null
C04502	C04818	null
C04506	C04748	null
C04530	C04814	null
C04814	C11509	null
C05860	C05861	null
C04554	C05445	null
C05445	C05444	null
C04619	C05754	null
C04620	C05751	null
C04633	C05763	null
C16618	C16619	null
C04654	C04741	null
C04671	C04707	null
C04679	C07282	null
C07282	C07281	null
C04683	C04887	null
C04688	C05760	null
C04706	C06329	null
C06133	C06134	null
C04742	C05966	null
C05966	C14781	null
C05966	C14813	null
C04750	C04901	null
C04750	C04902	null
C04791	C04907	null
C04791	C11377	null
C04800	C04913	null
C04805	C05356	null
C04825	C04903	null
C04903	C15656	null
C04856	C20482	null
C04880	C04943	null
C04885	C04926	null
C04899	C20483	null
C04914	C04937	null
C04922	C04936	null
C04922	C04938	null
C04944	C05159	null
C04944	C15543	null
C05011	C07108	null
C05103	C15816	null
C15816	C15808	null
C05108	C15808	null
C05108	C15915	null
C05827	C05828	null
C06482	C16638	null
C05200	C05313	null
C05206	C05320	null
C05758	C05757	null
C05232	C05329	null
C05264	C05275	null
C05275	C05274	null
C05268	C05271	null
C05271	C05270	null
C05279	C05280	null
C05284	C18075	null
C05299	C11132	null
C05302	C11131	null
C05335	C05691	null
C05335	C05698	null
C16254	C15972	null
C05447	C05448	null
C05450	C05460	null
C05576	C05594	null
C05580	C05584	null
C05578	C15566	null
C05584	C05583	null
C05636	C05637	null
C05638	C05639	null
C05649	C05650	null
C05674	C06459	null
C05686	C05696	null
C05686	C05697	null
C05703	C18902	null
C05747	C05748	null
C16236	C16237	null
C16236	C16240	null
C05766	C05768	null
C05774	C06508	null
C05803	C05804	null
C05805	C17568	null
C05813	C05814	null
C05921	C06250	null
C06250	C06249	null
C05924	C19848	null
C14781	C14782	null
C14813	C14814	null
C06054	C06055	null
C06102	C06103	null
C06246	C06247	null
C06341	C17336	null
C06409	C06410	null
C06428	C16165	null
C06429	C16169	null
C06485	C07326	null
C06505	C06506	null
C06611	C06613	null
C06613	C06614	null
C06612	C16348	null
C16348	C06615	null
C06754	C06755	null
C06754	C07047	null
C07047	C16550	null
C07047	C16555	null
C06790	C11148	null
C06790	C14866	null
C06800	C16756	null
C06800	C19585	null
